full_date,month,quarter,year,id_date
1997-12-18,12,4,1997,1
1997-01-06,1,1,1997,2
1997-06-10,6,2,1997,3
1997-09-30,9,3,1997,4
1997-05-07,5,2,1997,5
1997-01-16,1,1,1997,6
1997-04-22,4,2,1997,7
1996-12-31,12,4,1996,8
1996-10-24,10,4,1996,9
1996-11-20,11,4,1996,10
1996-08-05,8,3,1996,11
1996-12-13,12,4,1996,12
1996-12-27,12,4,1996,13
1997-08-01,8,3,1997,14
1996-10-18,10,4,1996,15
1997-08-11,8,3,1997,16
1997-05-15,5,2,1997,17
1997-02-21,2,1,1997,18
1997-06-11,6,2,1997,19
1996-08-16,8,3,1996,20
1997-12-29,12,4,1997,21
1996-08-23,8,3,1996,22
1997-09-29,9,3,1997,23
1996-12-11,12,4,1996,24
1998-01-01,1,1,1998,25
1998-05-01,5,2,1998,26
1996-10-11,10,4,1996,27
1998-02-26,2,1,1998,28
1997-07-17,7,3,1997,29
1996-07-09,7,3,1996,30
1996-08-29,8,3,1996,31
1997-08-25,8,3,1997,32
1997-10-23,10,4,1997,33
1996-09-19,9,3,1996,34
1997-03-05,3,1,1997,35
1997-01-24,1,1,1997,36
1997-01-29,1,1,1997,37
1998-02-17,2,1,1998,38
1997-12-25,12,4,1997,39
1997-08-29,8,3,1997,40
1997-04-23,4,2,1997,41
1997-02-27,2,1,1997,42
1997-06-27,6,2,1997,43
1998-05-05,5,2,1998,44
1996-12-16,12,4,1996,45
1996-09-23,9,3,1996,46
1997-01-21,1,1,1997,47
1996-07-31,7,3,1996,48
1998-03-09,3,1,1998,49
1997-04-25,4,2,1997,50
1997-03-14,3,1,1997,51
1997-10-10,10,4,1997,52
1997-12-26,12,4,1997,53
1997-10-17,10,4,1997,54
1997-01-17,1,1,1997,55
1997-02-10,2,1,1997,56
1998-03-16,3,1,1998,57
1998-01-07,1,1,1998,58
1996-12-18,12,4,1996,59
1996-11-15,11,4,1996,60
1998-03-18,3,1,1998,61
1998-04-14,4,2,1998,62
1996-10-08,10,4,1996,63
1998-04-10,4,2,1998,64
1996-12-20,12,4,1996,65
1996-11-12,11,4,1996,66
1997-09-03,9,3,1997,67
1996-12-06,12,4,1996,68
1997-04-08,4,2,1997,69
1996-11-22,11,4,1996,70
1998-03-10,3,1,1998,71
1997-03-19,3,1,1997,72
1997-10-06,10,4,1997,73
1997-10-08,10,4,1997,74
1996-09-16,9,3,1996,75
1996-07-08,7,3,1996,76
1997-03-31,3,1,1997,77
1997-02-04,2,1,1997,78
1997-03-24,3,1,1997,79
1997-01-15,1,1,1997,80
1998-04-13,4,2,1998,81
1998-03-26,3,1,1998,82
1996-12-02,12,4,1996,83
1997-07-04,7,3,1997,84
1997-10-28,10,4,1997,85
1997-07-21,7,3,1997,86
1997-03-20,3,1,1997,87
1997-07-22,7,3,1997,88
1997-06-26,6,2,1997,89
1996-07-15,7,3,1996,90
1997-12-16,12,4,1997,91
1997-05-27,5,2,1997,92
1996-09-05,9,3,1996,93
1997-05-30,5,2,1997,94
1997-07-11,7,3,1997,95
1997-10-01,10,4,1997,96
1997-11-26,11,4,1997,97
1997-06-13,6,2,1997,98
1997-05-08,5,2,1997,99
1998-01-28,1,1,1998,100
1996-12-30,12,4,1996,101
1997-03-06,3,1,1997,102
1997-05-16,5,2,1997,103
1996-11-14,11,4,1996,104
1997-01-23,1,1,1997,105
1996-09-04,9,3,1996,106
1998-01-22,1,1,1998,107
1996-10-15,10,4,1996,108
1998-03-31,3,1,1998,109
1997-01-10,1,1,1997,110
1997-08-22,8,3,1997,111
1997-11-07,11,4,1997,112
1997-10-27,10,4,1997,113
1997-03-04,3,1,1997,114
1997-06-20,6,2,1997,115
1997-06-04,6,2,1997,116
1996-12-26,12,4,1996,117
1997-02-03,2,1,1997,118
1997-05-28,5,2,1997,119
1997-07-30,7,3,1997,120
1997-04-14,4,2,1997,121
1997-11-14,11,4,1997,122
1996-09-17,9,3,1996,123
